name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
Eshanya,Yes,Yes,4.1,1080,Jayanagar,Casual Dining,"Spring Roll, Vanilla Ice Cream, Veg Thali, Biryani, Thandai, Roti, Tikka","North Indian, Chinese","1,000",Delivery
HungerLoft,Yes,No,2.6,109,BTM,Casual Dining,NA,"North Indian, Chinese, Arabian",800,Delivery
Billionaires Cafe,No,No,3.8,47,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",600,Delivery
Mangalore Lunch Home,Yes,No,3.6,42,BTM,Quick Bites,NA,"North Indian, South Indian, Mangalorean",250,Delivery
Sagar Fast Food,Yes,No,3.7,67,BTM,Quick Bites,"Idli, Masala Dosa","South Indian, Chinese, North Indian",300,Delivery
Dice N Dine,Yes,Yes,4.3,1805,Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Virgin Mojito, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos","Continental, Cafe, Italian, Fast Food, Steak",900,NA
South Kitchen,Yes,No,4.3,276,Basavanagudi,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Poha",South Indian,100,Delivery
Juice Fresco,Yes,No,3.4,7,Koramangala 4th Block,Beverage Shop,NA,Beverages,150,Delivery
The Lassi Park,Yes,No,4.1,184,Jayanagar,Quick Bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200,Delivery
Calvin's,Yes,No,3.8,431,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",Desserts,800,Delivery
Elmas Restaurant,Yes,No,3.5,34,Koramangala 7th Block,Casual Dining,Rooftop Ambience,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650,Delivery
Upahara Sagar,No,No,3.0,25,Jayanagar,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
Namms Cafe,Yes,No,3.2,8,Koramangala 2nd Block,Delivery,NA,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300,Delivery
Om Sweets & Snacks,No,No,3.9,34,Koramangala 5th Block,Sweet Shop,NA,"Mithai, Oriya, Bengali",150,Delivery
Bottle Breacher,No,Yes,4.2,1197,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Pork Ribs, Beer, Nachos","Italian, Continental","1,200",Delivery
The Little Kitchen,Yes,No,3.5,11,JP Nagar,Quick Bites,NA,"Chinese, North Indian",300,Delivery
Pabrai's Fresh & Naturelle Icecreams,Yes,No,3.9,128,Koramangala 5th Block,Dessert Parlor,"Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Tender Coconut Ice Cream","Ice Cream, Desserts",200,Delivery
Nourich,Yes,Yes,0,0,JP Nagar,Casual Dining,"Soba Noodles, Pad Thai Noodle, Pickled Beetroot, Chicken Sandwich","Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800,Delivery
Checkpost,Yes,No,4.1,957,JP Nagar,Casual Dining,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Sea Food, Ghee Idli","South Indian, Seafood, North Indian, Beverages",600,Delivery
Dr. Sheesha,No,Yes,4.1,1453,JP Nagar,Cafe,"Mocktails, Pizza, Pasta Alfredo, Burgers, Nachos, Exotic Garlic Bread, Milk Shake","Cafe, Chinese, Continental, Italian",800,Delivery
Peppy Peppers,No,No,4.2,256,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,NA
Roving Feast,No,No,4.0,1048,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery
Apsara Ice Cream,No,No,4.2,251,JP Nagar,Dessert Parlor,"Panipuri, Kulfi, Sitaphal Ice Cream, Guava Ice Cream, Coffee","Ice Cream, Desserts",200,Delivery
Anjappar,No,No,3.1,97,JP Nagar,Casual Dining,"Biryani, Appam, Butter Naan","Chettinad, South Indian",650,Delivery
Alfa Family Restaurant,No,No,3.0,29,Wilson Garden,Quick Bites,NA,"North Indian, Arabian, Chinese",400,Delivery
Arun Icecreams,No,No,3.4,6,JP Nagar,Dessert Parlor,NA,Ice Cream,200,Delivery
Cariocake,No,No,3.9,56,JP Nagar,Bakery,NA,"Bakery, Desserts",350,Delivery
Costal Kadai,No,No,0,0,JP Nagar,Quick Bites,NA,South Indian,300,Delivery
California Burrito,No,No,3.3,9,JP Nagar,Food Court,NA,"Mexican, Fast Food",400,Delivery
Beach Hut,No,No,3.5,134,JP Nagar,Casual Dining,"Butter Naan, Butter Kulcha, Momos, Noodles, Paneer Tikka, Chop Suey, Tangdi Kabab","North Indian, Chinese",650,NA
Rolls On Wheels,No,No,2.8,127,BTM,Quick Bites,"Rolls, Veggie Roll, Chicken Roll, French Fries","Fast Food, Rolls, Momos",300,Delivery
