name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
C. K. Mega Hot Food,Yes,No,3.9,100,BTM,Casual Dining,NA,"Chinese, Momos",600,Delivery
Lassi Shop,Yes,No,3.9,38,JP Nagar,Beverage Shop,NA,"Beverages, Ice Cream, Fast Food",300,Delivery
Red Chilli Restaurant,Yes,No,3.2,93,Bannerghatta Road,Quick Bites,NA,"North Indian, Chinese",350,Delivery
RSS Donne Biryani,Yes,No,3.3,58,BTM,Quick Bites,NA,Biryani,300,Delivery
Rajdhani Thali Restaurant,Yes,Yes,3.9,561,Bannerghatta Road,Casual Dining,"Mango Lassi, Dhokla, Khichda, Kesaria Lassi, Rajdhani Thali, Rabri, Buttermilk",North Indian,900,Delivery
PHEW (Play Hard Eat Wild),Yes,Yes,3.9,486,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Delivery
New Kabab Zone,Yes,No,3.6,102,Bannerghatta Road,Quick Bites,NA,"North Indian, Chinese, Biryani, Rolls",500,NA
Bawarchi Paradise,Yes,No,3.5,89,Bannerghatta Road,Quick Bites,NA,"North Indian, Biryani",500,Delivery
Shree Udupi Grand,Yes,No,3.5,17,Kanakapura Road,Casual Dining,NA,"South Indian, Chinese, North Indian",450,Delivery
Chicken County Grand,Yes,No,3.9,320,Bannerghatta Road,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Hyderabadi Chicken, Chicken Roll","North Indian, Chinese",650,Delivery
Roll Over,Yes,No,4.1,237,JP Nagar,Dessert Parlor,"Rolls, Ice Cream Roll, Fries, Chocolate Icecreams, Banana Nutella, Chocolate Ball, Waffles","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
Darjeeling Momos & Fast Food Center,Yes,No,3.8,37,Bannerghatta Road,Quick Bites,NA,"Fast Food, Momos",250,Delivery
Veruthe Oru Thattukada,Yes,No,3.7,27,BTM,Quick Bites,NA,"Kerala, South Indian",400,Delivery
Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1227,Bannerghatta Road,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Haleem, Sea Food","Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",900,Delivery
Warm Oven,Yes,No,3.9,32,BTM,Bakery,NA,"Bakery, Desserts",500,Delivery
Firangi Bake,Yes,No,4.0,95,Bannerghatta Road,Delivery,Lasagne,"Mexican, Italian",600,Delivery
Zaitoon,Yes,Yes,4.1,1538,JP Nagar,Casual Dining,"Hummus Falafel, Gulab Jamun, Shawarma, Bbq Chicken, Mojito, Chicken Biryani, Manchow Soup","BBQ, Arabian, Chinese, North Indian, Desserts","1,000",Delivery
Kundana,Yes,No,3.7,110,Bannerghatta Road,Casual Dining,"Lemon Chicken, Chicken Dum Biryani, Mutton Biryani","Andhra, Biryani",800,Delivery
Food Ka Masti,Yes,No,3.2,45,Bannerghatta Road,Delivery,NA,"North Indian, Chinese, South Indian",400,Delivery
The Shawarma Shop,Yes,No,4.1,381,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,Delivery
Momo Junction,Yes,No,3.8,87,Bannerghatta Road,"Takeaway, Delivery",NA,"Fast Food, Momos",100,Delivery
Antilla Aromas,Yes,No,3.7,18,Bannerghatta Road,Dessert Parlor,NA,"Desserts, Ice Cream",300,Delivery
Faasos,Yes,No,3.9,251,Bannerghatta Road,Delivery,"Rolls, Sabudana Vada, Veggie Wrap, Chicken Wrap, Dal Makhani, Paneer Wrap, Meat Balls","North Indian, Biryani, Fast Food",500,Delivery
Punjabi Food Corner,Yes,No,3.0,353,JP Nagar,Quick Bites,"Kheer, Lassi, Paratha, Amritsari Kulcha, Dal Makhani, Chole Bhature, Aloo Kulcha","North Indian, Chinese, Street Food",400,Delivery
Mealer.in,Yes,No,4.0,205,JP Nagar,Delivery,"Rajma, Dal Makhani, Kadhi Chawal, Dal Tadka","North Indian, Biryani",450,Delivery
Pathaan Sir,Yes,No,3.9,183,BTM,Quick Bites,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll","Fast Food, Rolls, Momos",250,Delivery
Cold Stone Creamery,Yes,No,3.9,99,Bannerghatta Road,Dessert Parlor,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie","Ice Cream, Desserts",400,Delivery
Hari Super Sandwich,Yes,No,3.9,13,BTM,Quick Bites,NA,"Sandwich, Fast Food",100,Delivery
Amritsari Kulcha Land,Yes,No,4.1,260,JP Nagar,Quick Bites,"Lassi, Amritsari Kulcha, Punjabi Kulcha, Paneer Kulcha, Punjabi Chole, Aloo Kulcha, Paratha",North Indian,300,Delivery
Chokha Chowka,Yes,No,3.9,355,BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer","North Indian, Chinese",400,Delivery
Gorbandh,Yes,No,4.1,83,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,Delivery
Grills & Rolls,Yes,No,2.5,321,JP Nagar,Quick Bites,"Shawarma, Chicken Grill, Tandoori Chicken, Butter Chicken, Rolls, Chicken Tikka, Grape Juice","North Indian, Chinese, Fast Food, Rolls, Juices",400,Delivery
Bathinda Junction,Yes,No,3.9,362,BTM,Casual Dining,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",North Indian,600,Delivery
Stories,Yes,Yes,4.2,2166,JP Nagar,"Pub, Casual Dining","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","American, Chinese, Continental, North Indian","1,200",NA
New Gongura's,Yes,No,3.7,43,BTM,Casual Dining,NA,"Andhra, Biryani, North Indian, Chinese",550,Delivery
Sagar Grand,Yes,No,3.8,30,Bannerghatta Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
Kanti Sweets,Yes,No,4.0,182,JP Nagar,Sweet Shop,"Rasmalai, Pav Bhaji","Mithai, Street Food",400,Delivery
UBQ By Barbeque Nation,Yes,No,3.4,9,JP Nagar,Delivery,NA,"North Indian, BBQ, Biryani, Kebab",450,Delivery
Agarwal Food Service,Yes,No,3.8,265,Bannerghatta Road,Delivery,NA,"North Indian, Chinese, Biryani",400,Delivery
Daniyal's,Yes,No,3.1,41,BTM,Quick Bites,NA,"North Indian, Biryani, Mughlai, Kebab",800,Delivery
Seasons,Yes,Yes,3.8,500,Bannerghatta Road,Casual Dining,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices","1,000",Delivery
Chef Delicacies,Yes,No,3.1,7,JP Nagar,"Takeaway, Delivery",NA,"Kebab, Rolls, Charcoal Chicken",400,Delivery
Chung Wah,Yes,No,4.0,532,Bannerghatta Road,Casual Dining,"Chicken Chowmein, Chicken Manchow Soup, Clear Soup, Momos, Fried Noodles, Chop Suey, Spring Roll","Chinese, Thai, Momos, Vietnamese",800,Delivery
Indiana Burgers,Yes,No,3.4,23,BTM,Delivery,NA,Burger,300,Delivery
Moksha,Yes,No,3.6,42,Kanakapura Road,"Casual Dining, Bar",NA,"Chinese, North Indian, Andhra, South Indian","1,500",Delivery
Marwa Restaurant,Yes,Yes,3.5,551,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600,Delivery
Chaatimes,Yes,No,3.9,100,JP Nagar,Quick Bites,NA,"Street Food, Fast Food",200,Delivery
Shanghai Court,Yes,No,4.2,421,Bannerghatta Road,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",700,Delivery
Akshaya Donne Biriyani,Yes,No,3.1,38,JP Nagar,Quick Bites,NA,"Biryani, South Indian, Kebab",300,Delivery
Sweet Truth,Yes,No,3.7,33,Bannerghatta Road,Bakery,NA,"Bakery, Desserts",500,Delivery
Bhojohori Manna,Yes,No,3.7,662,JP Nagar,Casual Dining,"Fish, Kosha Mangsho, Mishti Doi, Aam Panna, Prawn, Nolen Gurer Ice Cream, Luchi","Bengali, Mughlai",650,Delivery
Richie Rich,Yes,No,3.1,14,JP Nagar,"Takeaway, Delivery",NA,"Desserts, Ice Cream, Beverages",250,Delivery
Hunger Bee,Yes,No,3.8,54,Bannerghatta Road,Quick Bites,"Chicken Curry, Chicken Biryani, Jeera Rice, Paneer Biryani, Ghee Rice, Roti, Aloo Matar","Biryani, North Indian, South Indian",500,Delivery
Yum In My Tum,Yes,No,4.1,92,BTM,Quick Bites,"Momos, Manchow Soup, Pizza Sandwich, Spring Roll, Noodles, Fries, Fried Rice","Chinese, Continental, Fast Food, Healthy Food",300,Delivery
Maggi N Maggi House,Yes,No,3.4,22,Bannerghatta Road,"Takeaway, Delivery",NA,Fast Food,300,Delivery
Fresh Dinner,Yes,No,3.1,105,Bannerghatta Road,"Takeaway, Delivery",NA,"North Indian, Biryani",500,Delivery
B.M.W Bhookh Mitaane Wala,Yes,No,3.5,8,JP Nagar,Quick Bites,NA,"North Indian, South Indian, Chinese",500,Delivery
Biryani Miya,Yes,No,3.7,36,JP Nagar,Delivery,Chicken Biryani,"Biryani, North Indian",600,Delivery
Krispy Kreme,Yes,No,3.7,14,Bannerghatta Road,Dessert Parlor,NA,"Desserts, Beverages",300,Delivery
Paani Kum Chai,Yes,No,4.0,23,JP Nagar,Beverage Shop,NA,"Beverages, Fast Food",200,Delivery
Chulha Chauki Da Dhaba,Yes,No,4.2,2350,JP Nagar,Casual Dining,"Egg Chilli, Chilli Babycorn, Chicken Curry, Sweet Lassi, Palak Paneer, Chaach, Butter Chicken",North Indian,800,Delivery
Hotel Brundavan,Yes,No,0,0,Bannerghatta Road,Quick Bites,NA,"South Indian, North Indian, Chinese",250,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.9,120,Bannerghatta Road,Quick Bites,NA,"Biryani, South Indian",300,Delivery
Dreamcatcher,Yes,No,3.9,49,Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600,Delivery
Magis Parattha Roll,Yes,No,3.7,184,BTM,Quick Bites,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill","Fast Food, North Indian, Chinese, Mughlai, Rolls",400,NA
Elegant Dining,Yes,Yes,3.6,225,Bannerghatta Road,Casual Dining,"Chicken Tikka, Chicken Biryani, Roti, Naan, Panneer Butter Masala","Biryani, North Indian, Chinese",700,Delivery
AlienSip,Yes,No,3.6,11,BTM,Beverage Shop,NA,Juices,200,Delivery
Waffle Head,Yes,No,4.0,35,BTM,"Dessert Parlor, Beverage Shop","Marshmallow, Chocolate Waffles","Desserts, Beverages, Bakery, Ice Cream",300,Delivery
Samruddhi Biryani,Yes,No,3.0,45,Bannerghatta Road,Delivery,NA,"Biryani, North Indian",700,Delivery
Ande Ka Funda,Yes,No,3.2,56,Bannerghatta Road,Quick Bites,NA,"North Indian, Fast Food, Rolls",250,Delivery
Basmati Delights,Yes,No,4.0,869,BTM,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500,Delivery
Charlee's Chicken,Yes,No,3.2,34,Bannerghatta Road,Quick Bites,NA,"Rolls, Chinese, Fast Food",300,Delivery
Samosa Singh,Yes,No,4.0,153,JP Nagar,Quick Bites,"Samosa, Chicken Chettinad, Murgh Makhani","Street Food, Fast Food, Rolls, Desserts",200,Delivery
Cravings,Yes,No,3.7,139,Bannerghatta Road,Quick Bites,"Malai Kofta, Sandwiches, Aloo Paratha, Chole Bhature, Panneer Butter Masala, Kulcha, Poori Chole","North Indian, Chinese, Rolls",400,Delivery
Nagas,Yes,No,3.1,10,JP Nagar,Quick Bites,NA,Andhra,300,Delivery
Thalassery Restaurant,Yes,No,0,0,Bannerghatta Road,Casual Dining,NA,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600,Delivery
Matka,Yes,No,3.7,181,Bannerghatta Road,Delivery,Biryani,"Biryani, North Indian",500,Delivery
Punjabi Swag,Yes,No,3.9,669,BTM,Casual Dining,"Lassi, Murgh Lababdar, Makke Ki Roti, Chaap, Butter Paneer, Butter Chicken, Patiala Paneer",North Indian,500,Delivery
Taco Bell,Yes,No,3.7,168,Bannerghatta Road,Quick Bites,"Tacos, Fries, Nachos, Burrito","Mexican, American, Fast Food",600,Delivery
Ambur Star Dum Biryani,Yes,No,3.4,17,Jayanagar,Quick Bites,NA,Biryani,100,Delivery
Ahmed's Little Hut,Yes,No,0,0,BTM,Quick Bites,NA,Fast Food,250,Delivery
Mother's Rasoi,Yes,No,3.8,170,Bannerghatta Road,Quick Bites,"Buttermilk, Dal Makhani, Boondi Raita, Baingan Bharta, Aloo Paratha, Roti, Thali","North Indian, Chinese, Momos",250,Delivery
Dosa Bazaar,Yes,No,4.0,112,JP Nagar,Quick Bites,"Cheese Dosa, Tea, Pizza Dosa","Street Food, South Indian",200,Delivery
Babu Moshai,Yes,No,3.0,43,Bannerghatta Road,Quick Bites,NA,"Fast Food, Bengali",500,Delivery
The Bong Palate,Yes,No,3.8,58,BTM,Quick Bites,"Mutton Kosha, Basanti Pulao, Chicken Biryani","Bengali, North Indian, Chinese",300,Delivery
Gowdru Mane Oota,Yes,No,3.7,80,JP Nagar,Quick Bites,NA,"South Indian, Andhra",400,Delivery
Banashankari Nati Style,Yes,No,3.6,8,JP Nagar,Quick Bites,NA,South Indian,300,Delivery
Upahara Darshini,Yes,No,4.0,167,Jayanagar,Quick Bites,"Vada, Coffee, Masala Dosa, Gulab Jamun, Roti, Idli, Tomato Soup","South Indian, North Indian, Chinese",400,Delivery
Chandrima's Kitchen,Yes,No,3.7,38,Bannerghatta Road,"Takeaway, Delivery",NA,"Bengali, North Indian",400,Delivery
Keventers,Yes,No,3.8,29,Bannerghatta Road,"Beverage Shop, Dessert Parlor",NA,"Desserts, Beverages, Ice Cream",400,Delivery
Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",Rajasthani,300,Delivery
Crunch Pizzas,Yes,No,2.6,473,BTM,Quick Bites,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza","Italian, Pizza",600,NA
Lassi Berg,Yes,No,3.4,13,BTM,Takeaway,NA,Juices,100,Delivery
Kakal-Kai Ruchi,Yes,No,3.7,217,JP Nagar,Casual Dining,"Masala Dosa, Babycorn Manchurian, Filter Coffee, Chaat, Dahipuri, Masala Papad, Raagi Dosa","North Indian, South Indian, Chinese",500,Delivery
Manchu Cafe,Yes,No,3.8,21,BTM,Quick Bites,NA,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300,Delivery
Calorie Express,Yes,No,3.6,192,BTM,Delivery,Chicken Sandwich,Healthy Food,450,Delivery
BANGALORE BOX,Yes,Yes,4.2,611,BTM,"Casual Dining, Bar","Biryani, Chicken Bbq Wings, Mocktails, Sangria, Cocktails, Burgers, Pasta","Asian, Continental, Finger Food","1,500",Delivery
Yummy Momos,Yes,No,3.6,44,Bannerghatta Road,Kiosk,NA,"Momos, Street Food, Fast Food, Tibetan, Chinese",200,Delivery
Hotel Khaaja,Yes,No,3.1,68,Bannerghatta Road,Quick Bites,NA,"Biryani, Fast Food",250,Delivery
The Gujarat Express,Yes,No,3.1,16,Bannerghatta Road,"Quick Bites, Sweet Shop",NA,"Street Food, Mithai, North Indian",250,Delivery
Ovenstory Pizza,Yes,No,4.0,166,Bannerghatta Road,Delivery,Cheesy Pizza,Pizza,750,Delivery
Slate Cafe,Yes,No,4.1,46,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600,Delivery
Vishal Foods,Yes,No,3.3,57,Bannerghatta Road,Quick Bites,NA,"Chinese, North Indian, Street Food",250,Delivery
Lassi Darbar,Yes,No,3.5,11,BTM,Beverage Shop,NA,"Ice Cream, Juices, Beverages",200,Delivery
Chavadi,Yes,Yes,4.4,2233,Bannerghatta Road,"Casual Dining, Bar","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles","Continental, North Indian, Pizza, Italian","1,200",Delivery
Nanna Munna Paratha House,Yes,No,4.0,107,BTM,Quick Bites,"Paratha, Palak Paneer",North Indian,300,Delivery
Cucumber Town,Yes,No,4.2,306,BTM,Delivery,"Appam, Chicken Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam, Sea Food","Kerala, North Indian",600,Delivery
Sri Sai 99 Variety Dosa,Yes,No,3.7,32,Bannerghatta Road,Quick Bites,NA,South Indian,300,Delivery
Artinci Artisanal Ice Cream,Yes,No,0,0,JP Nagar,Dessert Parlor,NA,"Desserts, Ice Cream",300,Delivery
Oye Amritsar,Yes,Yes,3.8,756,JP Nagar,Casual Dining,"Lassi, Raita, Dal Makhani, Panneer Butter Masala, Jalebi, Biryani, Paneer Tikka",North Indian,"1,000",Delivery
Kolkata Famous Kati Roll,Yes,No,3.5,11,JP Nagar,Quick Bites,NA,"Rolls, Chinese",200,Delivery
Nellore Ruchulu,Yes,No,3.7,30,Bannerghatta Road,Casual Dining,NA,"North Indian, South Indian, Chinese",800,Delivery
Brewsky,Yes,Yes,4.4,4309,JP Nagar,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Drunken Chicken Wings, Cocktails, Mocktails","Continental, American","1,600",Delivery
Chefeana,Yes,No,4.0,212,Bannerghatta Road,Quick Bites,"Paratha, Chole Bhature, Lassi, Thali, Paneer Parantha",North Indian,400,Delivery
Bangaliana,Yes,No,2.9,153,Bannerghatta Road,Quick Bites,"Masala Prawn, Mutton Kosha, Thali, Mutton Curry, Luchi, Fish Cutlet, Bengali Pulao",Bengali,600,Delivery
Gud Dhani,Yes,No,4.0,827,BTM,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",Rajasthani,500,Delivery
The Hunger Room,Yes,No,3.9,36,JP Nagar,Quick Bites,NA,"Continental, Sandwich, Burger, Italian, Salad, Pizza",400,Delivery
McDonald's,Yes,No,4.0,256,Bannerghatta Road,Quick Bites,"Burgers, Mocha Frappe, French Fries, Maharaja Mac, Oreo Shake, Egg Wrap","Burger, Fast Food",500,Delivery
Parisar Veg Restaurant,Yes,No,3.6,8,Bannerghatta Road,Quick Bites,NA,"Chinese, North Indian, South Indian",400,Delivery
WAFL,Yes,No,3.9,40,Bannerghatta Road,Food Court,Waffles,"Cafe, Fast Food, Desserts, Beverages",400,Delivery
Deejas Kitchen,Yes,No,3.9,73,Bannerghatta Road,"Takeaway, Delivery","Pothichoru, Roast Chicken, Fish Fry","South Indian, Kerala",400,Delivery
Pancuzzi,Yes,No,4.2,169,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Delivery
Totus,Yes,No,0,0,BTM,Quick Bites,NA,Chinese,300,Delivery
Zhang's - Chinese Restaurant,Yes,No,4.1,586,JP Nagar,Casual Dining,"Momos, Chilli Mushroom, Chop Suey, Sweet Corn Soup, Clear Soup, Hakka Noodles, Honey Chilli Potatoes","Chinese, Momos",700,Delivery
Shagun Sweets & Foods,Yes,No,3.5,221,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400,Delivery
Eat Well,Yes,No,2.9,22,JP Nagar,Delivery,NA,"North Indian, Chinese",400,Delivery
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto","Bengali, North Indian, Chinese",500,Delivery
Oogway Express,Yes,No,3.9,347,JP Nagar,Casual Dining,"Noodles, Mocktails, Honey Chilli Potatoes, Veg Ball Manchurian, Kung Pao Chicken, Momos, Pepper Chicken","Chinese, Thai, Momos",600,Delivery
Domino's Pizza,Yes,No,3.0,347,Bannerghatta Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800,NA
Pizza Stop,Yes,No,3.9,385,JP Nagar,Quick Bites,"Tortilla Chips, Tabasco Pizza, Salsa, Mixed Sauce Pasta, White Sauce Pasta, Manali Pizza, Nawabi Pizza","Pizza, Italian",600,Delivery
Balaji Bombay Vada Pav Gujrati Dalebi,Yes,No,3.8,37,JP Nagar,Takeaway,NA,"Street Food, Sandwich",150,Delivery
The Cake Ville,Yes,No,3.2,18,JP Nagar,"Bakery, Quick Bites",NA,"Bakery, Desserts, Fast Food",300,Delivery
The Egg Factory,Yes,No,4.0,1305,JP Nagar,Casual Dining,"French Toast, Masala Omelette, Pasta, Egg Paratha, Caramel Custard, Biryani, Penne Alfredo","Continental, American",750,Delivery
Chow San,Yes,No,3.0,122,Bannerghatta Road,Casual Dining,Noodles,"Chinese, Thai, Momos",500,NA
New Udupi Grand,Yes,No,3.5,47,JP Nagar,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
New Karawali Lunch Home,Yes,No,3.5,20,Bannerghatta Road,Quick Bites,NA,Mangalorean,350,Delivery
SR Choco Station,Yes,No,3.4,7,JP Nagar,"Takeaway, Delivery",NA,Desserts,200,Delivery
Bangalore Pantry,Yes,No,0,0,Bannerghatta Road,Quick Bites,NA,"Chinese, North Indian, Biryani, Arabian",400,Delivery
Momo Jojo,Yes,No,4.3,539,JP Nagar,Quick Bites,"Noodles, Corn Momo, Manchurian, Momo Platter, Veg Momos, Potato Momos, Tandoori Momos","Chinese, Tibetan, Momos",300,Delivery
Pizza Palace,Yes,No,0,0,Bommanahalli,Quick Bites,NA,"Pizza, Fast Food",300,Delivery
Simply Indian,Yes,Yes,3.9,681,Bannerghatta Road,Casual Dining,"Cocktails, Ghee Roast Mutton, Mocktails, Chicken Biryani, Malai Kofta, Chicken Chatpata, Fish","North Indian, Chinese, Seafood, Biryani, Mangalorean",800,Delivery
Delhi Biryani Cafe,Yes,No,3.5,10,BTM,Quick Bites,NA,"North Indian, Biryani",250,Delivery
Rithika's Kitchen,Yes,No,3.8,106,JP Nagar,Delivery,"Mutton Curry, Chicken Fry, Chicken Biryani, Chicken Curry","Biryani, South Indian, Andhra",350,Delivery
Punjabi Times,Yes,Yes,4.1,1025,Bannerghatta Road,Casual Dining,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",North Indian,"1,000",Delivery
Tarbouche,Yes,No,0,0,BTM,Quick Bites,NA,"Turkish, Rolls",300,Delivery
Chai Point,Yes,No,3.6,132,Bannerghatta Road,"Beverage Shop, Quick Bites","Ginger Tea, Ginger Chai, Banana Cake, Masala Chai, Egg Sandwich, Vada Pav","Tea, Beverages, Fast Food",250,Delivery
Cafe Coffee Day,Yes,No,3.7,26,Bannerghatta Road,Cafe,NA,"Cafe, Fast Food",900,Delivery
Cravy Wings,Yes,No,4.2,289,Bannerghatta Road,Quick Bites,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger","American, Burger, Fast Food",400,Delivery
Funky Punjab,Yes,No,3.9,407,JP Nagar,Casual Dining,"Lassi, Chole, Palak Paneer, Chaap, Paneer Tikka, Panneer Butter Masala, Paratha","North Indian, Chinese",500,Delivery
A1 Garam Masala,Yes,No,3.6,25,Kanakapura Road,Casual Dining,NA,"North Indian, South Indian, Andhra, Chinese",600,Delivery
Punjabi Corner,Yes,No,3.9,201,Bannerghatta Road,Quick Bites,"Paratha, Chicken Curry","North Indian, Chinese",250,Delivery
Guru Palace,Yes,No,3.1,106,Bannerghatta Road,Casual Dining,NA,"Chinese, North Indian",450,Delivery
#refuel,Yes,No,3.7,37,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400,Delivery
Biggies Burger 'n' More,Yes,No,4.1,203,JP Nagar,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges","Cafe, Burger, Beverages",650,Delivery
Zeeshan,Yes,No,3.1,320,JP Nagar,Casual Dining,"Firni, Rolls, Egg Roll, Chicken Biryani, Mutton Biryani, Calcutta Biryani, Haleem","North Indian, Mughlai, Biryani, Rolls",600,Delivery
Ambara Gardenia,Yes,Yes,3.8,257,Bannerghatta Road,Casual Dining,"Fish Fry, Crab Sukha, Chicken Biryani, Fish Curry, Murgh Ghee Roast, Roti, Naan","Andhra, North Indian, Chinese, Seafood",800,Delivery
LayerBite,Yes,No,3.8,9,BTM,Bakery,NA,"Bakery, Desserts, Beverages",450,Delivery
Five Star Chicken,Yes,No,3.2,100,Bannerghatta Road,Quick Bites,NA,"Fast Food, Burger",250,Delivery
Bhavani Chats,Yes,No,3.6,34,Bannerghatta Road,Quick Bites,NA,Street Food,100,Delivery
Tandoor Chai House,Yes,No,0,0,JP Nagar,Quick Bites,NA,"Street Food, Sandwich, Rolls, Beverages",200,Delivery
Shawarma Inc,Yes,No,3.2,4,Bannerghatta Road,Food Court,NA,"Rolls, Lebanese",250,Delivery
More Pizza,Yes,No,3.8,46,JP Nagar,Quick Bites,"Pizza, Garlic Bread, Chicken Lasagne",Pizza,450,Delivery
Appana Restaurant,Yes,No,0,0,BTM,Quick Bites,NA,North Indian,300,Delivery
Butterly,Yes,No,3.9,102,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450,Delivery
Crafted Plate,Yes,Yes,4.2,237,JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Delivery
Shetty's Kitchen,Yes,No,3.7,108,Bannerghatta Road,Quick Bites,"Sea Food, Neer Dosa",Mangalorean,600,Delivery
Machali Port,Yes,No,3.9,34,JP Nagar,Casual Dining,"Sea Food, Anjal Masala Fry, Fish Curry, Thali, Neer Dosa","Mangalorean, Seafood, North Indian",750,Delivery
Naati Manae,Yes,No,3.1,10,JP Nagar,Food Court,NA,"South Indian, Biryani",500,Delivery
Mad Over Biryani,Yes,No,3.3,8,JP Nagar,"Takeaway, Delivery",NA,"Biryani, North Indian",600,Delivery
Garma Garam,Yes,No,3.2,144,Bannerghatta Road,Quick Bites,"Chicken Biryani, Butter Chicken","North Indian, Chinese, Biryani, Rolls",350,Delivery
Sambram Biriyani Paradise,Yes,No,3.5,97,JP Nagar,Casual Dining,NA,"Biryani, North Indian, Chinese",600,Delivery
Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,NA,"Mithai, Street Food",150,Delivery
The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,1028,JP Nagar,"Casual Dining, Bar","Sea Food, Mocktails, Noodles, Murgh Ghee Roast, Cocktails, Tom Yum Soup, Spring Roll","Chinese, Thai, Seafood, North Indian, Momos","1,100",Delivery
